ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
105,boch,2.63,7.2,2.94,0.07,0,1,0,0
108,boch,11.23,4.83,0.34,4.92,1,0,0,0
136,boch,1.52,2.18,1.34,0.7,0,1,0,0
165,boch,3.64,0.27,0.33,7.54,0,0,0,1
166,boch,11.66,3.89,2.84,1.69,1,0,0,0
168,boch,0.09,0.78,0.62,3.29,0,0,0,1
170,boch,3.89,1.13,0.98,13.72,0,0,0,1
171,boch,6.86,4.4,3.13,6.21,1,0,0,0
172,boch,4.58,6.15,3.89,7.44,0,0,0,1
175,boch,1.88,6.4,4.82,3.57,0,1,0,0
176,boch,0.47,5.26,5.17,4.11,0,1,0,0
177,boch,0.82,0.74,0.83,1.5,0,0,0,1
178,boch,4.89,8.25,0.88,2.02,0,1,0,0
179,boch,1.14,11.64,0.26,0.37,0,1,0,0
180,boch,3.69,0.93,0.1,3.87,0,0,0,1
181,boch,10.78,10.12,3.1,7.19,1,0,0,0
183,boch,1.74,2.68,0.83,3.05,0,0,0,1
199,boch,19.27,5.8,4.93,3.39,1,0,0,0
200,boch,0.1,1.84,2.55,3.1,0,0,0,1
207,boch,5.17,1.05,0.92,0.74,1,0,0,0
215,boch,20.51,0.56,5.3,0.19,1,0,0,0
216,boch,21.47,0.7,3.58,0.1,1,0,0,0
217,boch,15.28,3.25,5.51,2.66,1,0,0,0
72,brcr,5.56,5.83,2.76,6.29,0,0,0,1
74,brcr,7.77,6.48,4.68,1.11,1,0,0,0
78,brcr,7.12,4.18,0.27,13.68,0,0,0,1
88,brcr,0.83,7.83,1.6,15.42,0,0,0,1
89,brcr,3.82,14.32,0.01,1.64,0,1,0,0
90,brcr,8.51,3.95,0.96,2.84,1,0,0,0
94,brcr,11.03,5.8,17.44,1.92,0,0,1,0
95,brcr,10.55,8.72,1.83,2.33,1,0,0,0
100,brcr,2.68,27.15,1.13,4.21,0,1,0,0
103,brcr,1.77,2.5,0.36,0.85,0,1,0,0
108,brcr,22.88,2.31,2.89,3.59,1,0,0,0
172,brcr,10.43,3.94,2.21,4.42,1,0,0,0
175,brcr,12.25,9.62,4.11,4.48,1,0,0,0
177,brcr,1.95,1.68,0.19,1.64,1,0,0,0
179,brcr,3.9,11.55,0.92,1.81,0,1,0,0
180,brcr,0.36,0.62,1,1.77,0,0,0,1
199,brcr,9.06,11.01,2.63,2.18,0,1,0,0
200,brcr,1.87,1.47,1.87,6.18,0,0,0,1
207,brcr,3.35,2.18,0.15,2.3,1,0,0,0
217,brcr,3.3,7.63,6.35,1.65,0,1,0,0
78,btnw,8.81,2.14,0.42,7.98,1,0,0,0
80,btnw,10.17,7.34,2.86,6.06,1,0,0,0
87,btnw,8.18,7.08,2.54,4.52,1,0,0,0
88,btnw,1.31,6.31,1.53,6.58,0,0,0,1
89,btnw,4.98,18.17,0.46,4.34,0,1,0,0
90,btnw,5.3,19.48,0.25,10.44,0,1,0,0
94,btnw,10.28,20.9,24.07,4.25,0,0,1,0
95,btnw,7.17,6.9,2.44,8.04,0,0,0,1
100,btnw,3.49,36.51,0.11,5.85,0,1,0,0
103,btnw,4.81,0.88,2.49,0.57,1,0,0,0
104,btnw,1.97,5.64,4.13,1.26,0,1,0,0
108,btnw,60.21,0.26,0.05,0.5,1,0,0,0
136,btnw,2.2,1.49,1.21,2.43,0,0,0,1
207,btnw,6.63,1.04,6.28,2.25,1,0,0,0
216,btnw,19.77,2.79,2.48,2.12,1,0,0,0
217,btnw,2.21,9.98,4.24,0.76,0,1,0,0
62,cawa,12.84,0.04,3.38,6.54,1,0,0,0
88,cawa,8.28,7.75,1.71,0.61,1,0,0,0
89,cawa,5.25,21.45,0.07,4.36,0,1,0,0
90,cawa,7.6,10.97,1.83,11.83,0,0,0,1
94,cawa,2.33,4.76,10.11,1.19,0,0,1,0
95,cawa,8.79,12.12,0.19,1.29,0,1,0,0
100,cawa,20.13,41.69,1.23,3.75,0,1,0,0
136,cawa,0.95,0.91,2,0.59,0,0,1,0
216,cawa,4.83,5.7,3.4,10.98,0,0,0,1
217,cawa,4.83,9.16,2.26,0.14,0,1,0,0
55,cmwa,5.35,0.51,1.28,0.06,1,0,0,0
60,cmwa,0.19,3.38,0.24,0.73,0,1,0,0
69,cmwa,2.15,12.43,0.16,19.11,0,0,0,1
71,cmwa,14.25,0.71,1.51,1.33,1,0,0,0
87,cmwa,10.16,1.63,1.4,1.46,1,0,0,0
88,cmwa,9.42,8.34,2.68,0.93,1,0,0,0
89,cmwa,4.24,22.23,0.9,3.38,0,1,0,0
90,cmwa,7.84,1.35,9.29,0.84,0,0,1,0
94,cmwa,14.42,19.6,4.45,3.21,0,1,0,0
95,cmwa,0.7,14.72,2.92,6.21,0,1,0,0
100,cmwa,0.13,29.5,0.14,7.22,0,1,0,0
103,cmwa,3.57,2.54,3.91,1.66,0,0,1,0
136,cmwa,0.25,0.33,2.04,0.31,0,0,1,0
207,cmwa,2.52,5.15,2.32,0.23,0,1,0,0
217,cmwa,2.73,5.11,1.91,2.03,0,1,0,0
51,osfl,5.09,6.61,4.29,1.48,0,1,0,0
