zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
75,wwcr,22376,22180,99,0.0791,0.1267,0.1216,0.1442,0.1611,0.1764,0.2913
76,blbw,5788,5188,90,0.0038,0.0059,0.0054,0.007,0.0076,0.0078,0.0086
76,boch,5788,5188,90,0.0523,0.0703,0.0698,0.0787,0.0817,0.0843,0.176
76,brcr,5788,5188,90,0.0136,0.018,0.0166,0.0223,0.0236,0.024,0.0248
76,btnw,5788,5188,90,0.0029,0.0048,0.0046,0.0056,0.0062,0.0064,0.0074
76,cawa,5788,5188,90,0.0026,0.003,0.003,0.0031,0.0032,0.0033,0.0036
76,cmwa,5788,5188,90,0.0084,0.0127,0.0135,0.0144,0.0147,0.0149,0.016
76,osfl,5788,5188,90,0.006,0.0072,0.007,0.0073,0.0081,0.0093,0.0112
76,pigr,5788,5188,90,0.011,0.0175,0.0168,0.0213,0.0238,0.0259,0.0453
76,rubl,5788,5188,90,0.0185,0.0296,0.0297,0.0318,0.0332,0.0345,0.0506
76,swth,5788,5188,90,0.0698,0.1137,0.1017,0.1414,0.1642,0.1887,0.2293
