bcr,rep,species,dissim,ks_cmi,ks_gpp,ks_led,bc_lcc
BCR4,0,deciduousbirds,0.678,0.41,0.234,0.411,0.371
BCR4,0,deciduousbirds,0.66,0.379,0.308,0.424,0.397
BCR4,0,deciduousbirds,0.563,0.312,0.255,0.32,0.321
BCR4,0,deciduousbirds,0.586,0.31,0.21,0.379,0.361
BCR4,0,deciduousbirds,0.565,0.278,0.29,0.392,0.388
BCR4,0,deciduousbirds,0.678,0.405,0.217,0.449,0.377
BCR4,0,deciduousbirds,0.656,0.372,0.296,0.463,0.405
BCR4,0,deciduousbirds,0.529,0.279,0.238,0.338,0.324
BCR4,0,deciduousbirds,0.479,0.287,0.247,0.311,0.282
BCR4,0,deciduousbirds,0.555,0.312,0.272,0.344,0.318
BCR4,0,deciduousbirds,0.428,0.206,0.226,0.233,0.248
BCR4,0,deciduousbirds,0.527,0.293,0.258,0.322,0.307
BCR4,0,deciduousbirds,0.411,0.205,0.207,0.211,0.233
BCR4,0,deciduousbirds,0.513,0.278,0.23,0.295,0.265
BCR4,0,deciduousbirds,0.727,0.527,0.204,0.43,0.35
BCR4,0,deciduousbirds,0.528,0.259,0.201,0.327,0.288
BCR4,0,deciduousbirds,0.652,0.483,0.212,0.457,0.28
BCR4,0,deciduousbirds,0.681,0.478,0.213,0.44,0.3
BCR4,0,deciduousbirds,0.559,0.264,0.201,0.287,0.322
BCR4,0,deciduousbirds,0.549,0.264,0.201,0.289,0.321
BCR4,0,deciduousbirds,0.694,0.492,0.233,0.441,0.33
BCR4,0,deciduousbirds,0.737,0.533,0.205,0.432,0.354
BCR4,0,deciduousbirds,0.739,0.573,0.236,0.474,0.351
BCR4,0,deciduousbirds,0.703,0.538,0.218,0.494,0.353
BCR4,0,deciduousbirds,0.685,0.535,0.21,0.446,0.288
BCR4,0,deciduousbirds,0.651,0.45,0.202,0.349,0.283
BCR4,0,deciduousbirds,0.42,0.21,0.223,0.308,0.362
BCR4,0,deciduousbirds,0.477,0.22,0.224,0.312,0.273
BCR4,0,deciduousbirds,0.503,0.216,0.225,0.296,0.291
BCR4,0,deciduousbirds,0.515,0.225,0.243,0.297,0.321
BCR4,0,deciduousbirds,0.555,0.3,0.245,0.328,0.34
BCR4,0,deciduousbirds,0.523,0.267,0.228,0.346,0.342
BCR4,0,deciduousbirds,0.509,0.266,0.221,0.303,0.283
BCR4,0,deciduousbirds,0.475,0.295,0.202,0.258,0.227
BCR4,0,deciduousbirds,0.517,0.324,0.207,0.303,0.304
BCR4,0,deciduousbirds,0.507,0.255,0.217,0.257,0.27
BCR4,0,deciduousbirds,0.386,0.311,0.206,0.324,0.234
BCR4,0,deciduousbirds,0.474,0.264,0.241,0.351,0.409
BCR4,0,deciduousbirds,0.439,0.231,0.223,0.369,0.412
BCR4,0,deciduousbirds,0.423,0.23,0.232,0.326,0.353
BCR4,0,deciduousbirds,0.353,0.227,0.213,0.271,0.311
BCR4,0,deciduousbirds,0.531,0.281,0.241,0.355,0.32
BCR4,0,deciduousbirds,0.559,0.277,0.242,0.34,0.338
BCR4,0,deciduousbirds,0.57,0.279,0.261,0.34,0.368
BCR4,0,deciduousbirds,0.466,0.236,0.211,0.259,0.299
BCR4,0,deciduousbirds,0.611,0.354,0.262,0.371,0.386
BCR4,0,deciduousbirds,0.577,0.321,0.245,0.389,0.389
BCR4,0,deciduousbirds,0.476,0.237,0.231,0.284,0.313
BCR4,0,deciduousbirds,0.56,0.32,0.237,0.346,0.33
BCR4,0,deciduousbirds,0.529,0.344,0.22,0.298,0.282
BCR4,0,deciduousbirds,0.551,0.281,0.24,0.282,0.33
BCR4,0,deciduousbirds,0.565,0.244,0.205,0.303,0.296
BCR4,0,deciduousbirds,0.587,0.24,0.206,0.287,0.315
BCR4,0,deciduousbirds,0.605,0.249,0.223,0.287,0.344
BCR4,0,deciduousbirds,0.643,0.324,0.227,0.319,0.364
BCR4,0,deciduousbirds,0.616,0.291,0.21,0.337,0.366
BCR4,0,deciduousbirds,0.603,0.29,0.203,0.293,0.307
BCR4,0,deciduousbirds,0.637,0.434,0.201,0.355,0.286
BCR4,0,deciduousbirds,0.404,0.26,0.248,0.289,0.239
BCR4,0,deciduousbirds,0.495,0.211,0.282,0.317,0.415
BCR4,0,deciduousbirds,0.484,0.336,0.24,0.355,0.316
BCR4,0,deciduousbirds,0.572,0.251,0.205,0.307,0.298
BCR4,0,deciduousbirds,0.551,0.221,0.282,0.321,0.325
BCR4,0,deciduousbirds,0.594,0.247,0.206,0.292,0.317
BCR4,0,deciduousbirds,0.572,0.217,0.283,0.305,0.343
BCR4,0,deciduousbirds,0.611,0.256,0.223,0.292,0.347
BCR4,0,deciduousbirds,0.591,0.225,0.302,0.306,0.373
BCR4,0,deciduousbirds,0.494,0.201,0.252,0.225,0.304
BCR4,0,deciduousbirds,0.65,0.332,0.226,0.323,0.366
BCR4,0,deciduousbirds,0.628,0.301,0.303,0.337,0.392
BCR4,0,deciduousbirds,0.623,0.299,0.21,0.341,0.369
BCR4,0,deciduousbirds,0.603,0.268,0.285,0.355,0.395
BCR4,0,deciduousbirds,0.509,0.201,0.272,0.25,0.318
BCR4,0,deciduousbirds,0.609,0.297,0.203,0.298,0.309
BCR4,0,deciduousbirds,0.59,0.267,0.278,0.312,0.335
